Molecule,Manufacturer,Product,MIDAS Corporation,Corporation,ATC4,ATC3,ATC2,ATC1,Total Market,Market,Molecule Combination Type,Launch Year,Strength,Pack,Launch Date,Retail Price,NFC1,NFC2,NFC3,2022 LC Value,2022 Units,2023 LC Value,2023 Units,2024 LC Value,2024 Units,2025 LC Value,2025 Units,2026 LC Value,2026 Units
(RS)-3 METHYL-2-OXOVALERIANIC ACID,FRESENIUS KABI,KETOSTERIL,FRESENIUS,FRESENIUS KABI*,A16A0 OTHER METABOLIC PRODUCTS,A16A OTHER METABOLIC PRODUCTS,A16 OTHER METABOLIC PRODUCTS,A0 ALIMENTARY T.& METABOLISM,TOTAL MARKET,LPO,COMBI,2001.0,0000,FILM C.TABS 100,200109,161.0,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,32200.0,200.0,23184.0,144.0,21252.0,132.0,32039.0,199.0,21735.0,135.0
(RS)-3 METHYL-2-OXOVALERIANIC ACID,FRESENIUS KABI,KETOSTERIL,FRESENIUS,FRESENIUS KABI*,A16A0 OTHER METABOLIC PRODUCTS,A16A OTHER METABOLIC PRODUCTS,A16 OTHER METABOLIC PRODUCTS,A0 ALIMENTARY T.& METABOLISM,TOTAL MARKET,PRIVATE MARKET,COMBI,2001.0,0000,FILM C.TABS 100,200109,161.0,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,363699.0,2259.0,395899.0,2459.0,625485.0,3885.0,617435.0,3835.0,104006.0,646.0
(RS)-3-METHYL-2-OXOBUTYRIC ACID,FRESENIUS KABI,KETOSTERIL,FRESENIUS,FRESENIUS KABI*,A16A0 OTHER METABOLIC PRODUCTS,A16A OTHER METABOLIC PRODUCTS,A16 OTHER METABOLIC PRODUCTS,A0 ALIMENTARY T.& METABOLISM,TOTAL MARKET,LPO,COMBI,2001.0,0000,FILM C.TABS 100,200109,161.0,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,32200.0,200.0,23184.0,144.0,21252.0,132.0,32039.0,199.0,21735.0,135.0
(RS)-3-METHYL-2-OXOBUTYRIC ACID,FRESENIUS KABI,KETOSTERIL,FRESENIUS,FRESENIUS KABI*,A16A0 OTHER METABOLIC PRODUCTS,A16A OTHER METABOLIC PRODUCTS,A16 OTHER METABOLIC PRODUCTS,A0 ALIMENTARY T.& METABOLISM,TOTAL MARKET,PRIVATE MARKET,COMBI,2001.0,0000,FILM C.TABS 100,200109,161.0,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,363699.0,2259.0,395899.0,2459.0,625485.0,3885.0,617435.0,3835.0,104006.0,646.0
(RS)-4-METHYL-2-OXOVALERIANIC ACID,FRESENIUS KABI,KETOSTERIL,FRESENIUS,FRESENIUS KABI*,A16A0 OTHER METABOLIC PRODUCTS,A16A OTHER METABOLIC PRODUCTS,A16 OTHER METABOLIC PRODUCTS,A0 ALIMENTARY T.& METABOLISM,TOTAL MARKET,LPO,COMBI,2001.0,0000,FILM C.TABS 100,200109,161.0,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,32200.0,200.0,23184.0,144.0,21252.0,132.0,32039.0,199.0,21735.0,135.0
(RS)-4-METHYL-2-OXOVALERIANIC ACID,FRESENIUS KABI,KETOSTERIL,FRESENIUS,FRESENIUS KABI*,A16A0 OTHER METABOLIC PRODUCTS,A16A OTHER METABOLIC PRODUCTS,A16 OTHER METABOLIC PRODUCTS,A0 ALIMENTARY T.& METABOLISM,TOTAL MARKET,PRIVATE MARKET,COMBI,2001.0,0000,FILM C.TABS 100,200109,161.0,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,363699.0,2259.0,395899.0,2459.0,625485.0,3885.0,617435.0,3835.0,104006.0,646.0
1;2-OCTANEDIOL,THORNTON & ROSS,HEDRIN TREAT&GO,STADA,STADA ARZENEIM*,P03A0 ECTOPARAS.INCL SCABICIDE,P03A ECTOPARAS.INCL SCABICIDE,P03 ECTOPARASITICIDES,P0 PARASITOLOGY,TOTAL MARKET,PRIVATE MARKET,MONO,2014.0,0000,SPRAY 1 60 ML,201411,79.0,M TOPIC DERMATOL HAEMOR EXTERN,MG TOP EXT LIQUIDS,MGC TOP EXT SPRAYS WITHOUT GAS,4550.0,70.0,7735.0,119.0,,,,,,
1;3-BUTANEDIOL,BIODERMA,BIODERMA CCB F50+,NAOS,BIODERMA*,D03A9 OTH WOUND HEALING AGENTS,D03A WOUND HEALING AGENTS,D03 WOUND HEALING AGENTS,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,2017.0,0000,CR.INTENSIV. 1 30 ML,201709,71.5,M TOPIC DERMATOL HAEMOR EXTERN,MT TOP EXT CREAMS,MTA TOP EXT CREAMS N O S,117048.0,1637.0,182899.0,2558.0,79795.0,1116.0,1502.0,21.0,,
1;3-BUTANEDIOL,EXPANSCIENCE,MUSTELA BEBE,EXPANSCIENCE,EXPANSCIENCE*,D02A0 EMOLLIENTS & PROTECTIVES,D02A EMOLLIENTS & PROTECTIVES,D02 EMOLLIENTS & PROTECTIVES,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,2014.0,0000,STH CMF BB 1 40 ML,201405,40.0,M TOPIC DERMATOL HAEMOR EXTERN,MS TOP EXT OINTMENTS,MSA TOP EXT OINTMENTS N O S,,,,,,,600.0,15.0,720.0,18.0
2;4-DICHLOROBENZYL ALCOHOL,AGIO PHARMACEUTIC,LOZZYS,AGIO,AGIO PHARMACEUTIC*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,2024.0,0000,GINGER LOZEN 24,202407,21.42,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,,,91721.0,4282.0,90843.0,4241.0,28060.0,1310.0
2;4-DICHLOROBENZYL ALCOHOL,AGIO PHARMACEUTIC,LOZZYS,AGIO,AGIO PHARMACEUTIC*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,2024.0,0000,HON & LE LOZ 24,202407,21.42,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,,,90435.0,4222.0,79061.0,3691.0,18656.0,871.0
2;4-DICHLOROBENZYL ALCOHOL,AGIO PHARMACEUTIC,LOZZYS,AGIO,AGIO PHARMACEUTIC*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,2024.0,0000,MEN & EU LOZ 24,202407,21.42,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,,,85530.0,3993.0,51944.0,2425.0,13217.0,617.0
2;4-DICHLOROBENZYL ALCOHOL,AGIO PHARMACEUTIC,LOZZYS,AGIO,AGIO PHARMACEUTIC*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,2024.0,0000,ORANGE LOZ 24,202407,21.42,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,,,85381.0,3986.0,50724.0,2368.0,14073.0,657.0
2;4-DICHLOROBENZYL ALCOHOL,AGIO PHARMACEUTIC,LOZZYS,AGIO,AGIO PHARMACEUTIC*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,2025.0,0000,GN LM SF LZ 24,202510,23.8,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,,,,,15851.0,666.0,6331.0,266.0
2;4-DICHLOROBENZYL ALCOHOL,EGO PHARM,QV,EGO,EGO PHARM*,D02A0 EMOLLIENTS & PROTECTIVES,D02A EMOLLIENTS & PROTECTIVES,D02 EMOLLIENTS & PROTECTIVES,D0 DERMATOLOGICALS,TOTAL MARKET,LPO,COMBI,2015.0,0000,SKIN LOTION 1 250 ML,201502,65.0,M TOPIC DERMATOL HAEMOR EXTERN,MG TOP EXT LIQUIDS,MGS TOP EXT LOTIONS,,,,,,,31980.0,492.0,,
2;4-DICHLOROBENZYL ALCOHOL,EGO PHARM,QV,EGO,EGO PHARM*,D02A0 EMOLLIENTS & PROTECTIVES,D02A EMOLLIENTS & PROTECTIVES,D02 EMOLLIENTS & PROTECTIVES,D0 DERMATOLOGICALS,TOTAL MARKET,LPO,COMBI,2015.0,0000,SKIN LTN 1 500 ML,201504,109.0,M TOPIC DERMATOL HAEMOR EXTERN,MG TOP EXT LIQUIDS,MGS TOP EXT LOTIONS,,,,,,,1417.0,13.0,,
2;4-DICHLOROBENZYL ALCOHOL,EGO PHARM,QV,EGO,EGO PHARM*,D02A0 EMOLLIENTS & PROTECTIVES,D02A EMOLLIENTS & PROTECTIVES,D02 EMOLLIENTS & PROTECTIVES,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,2015.0,0000,SKIN LOTION 1 250 ML,201502,65.0,M TOPIC DERMATOL HAEMOR EXTERN,MG TOP EXT LIQUIDS,MGS TOP EXT LOTIONS,723190.0,11126.0,335140.0,5156.0,389675.0,5995.0,484965.0,7461.0,76830.0,1182.0
2;4-DICHLOROBENZYL ALCOHOL,EGO PHARM,QV,EGO,EGO PHARM*,D02A0 EMOLLIENTS & PROTECTIVES,D02A EMOLLIENTS & PROTECTIVES,D02 EMOLLIENTS & PROTECTIVES,D0 DERMATOLOGICALS,TOTAL MARKET,PRIVATE MARKET,COMBI,2015.0,0000,SKIN LTN 1 500 ML,201504,109.0,M TOPIC DERMATOL HAEMOR EXTERN,MG TOP EXT LIQUIDS,MGS TOP EXT LOTIONS,282746.0,2594.0,527669.0,4841.0,448208.0,4112.0,611490.0,5610.0,79025.0,725.0
2;4-DICHLOROBENZYL ALCOHOL,NAPP LABS,BETADINE,MUNDIPHARMA INT,MUNDIPHARMA*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,LPO,COMBI,2023.0,0000,LOZ HON&LEMO 24,202301,21.48,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,,,,,129.0,6.0,,
2;4-DICHLOROBENZYL ALCOHOL,NAPP LABS,BETADINE,MUNDIPHARMA INT,MUNDIPHARMA*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,LPO,COMBI,2023.0,0000,LOZ MEN&EUC 24,202301,21.15,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,,,,,127.0,6.0,,
2;4-DICHLOROBENZYL ALCOHOL,NAPP LABS,BETADINE,MUNDIPHARMA INT,MUNDIPHARMA*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,2023.0,0000,LOZ HON&LEMO 24,202301,21.48,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,1232803.0,57393.0,1031964.0,48043.0,955925.0,44503.0,225669.0,10506.0
2;4-DICHLOROBENZYL ALCOHOL,NAPP LABS,BETADINE,MUNDIPHARMA INT,MUNDIPHARMA*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,2023.0,0000,LOZ MEN&EUC 24,202301,21.15,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,947416.0,44795.0,799448.0,37799.0,495651.0,23435.0,21.0,1.0
2;4-DICHLOROBENZYL ALCOHOL,RECKITT BENCKISER,STREPSILS,RECKITT BENCKISER,RECKITT BENCKISER*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,LPO,COMBI,0.0,0000,LOZ LEM/HONE 24,UNKNOWN,16.75,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,804.0,48.0,402.0,24.0,168.0,10.0,201.0,12.0,50.0,3.0
2;4-DICHLOROBENZYL ALCOHOL,RECKITT BENCKISER,STREPSILS,RECKITT BENCKISER,RECKITT BENCKISER*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,LPO,COMBI,0.0,0000,LOZS MENTHOL 24,UNKNOWN,16.75,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,1005.0,60.0,402.0,24.0,168.0,10.0,,,,
2;4-DICHLOROBENZYL ALCOHOL,RECKITT BENCKISER,STREPSILS,RECKITT BENCKISER,RECKITT BENCKISER*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,LPO,COMBI,1999.0,0000,LOZS S/F ASS 16,199906,16.75,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,402.0,24.0,201.0,12.0,168.0,10.0,939.0,56.0,503.0,30.0
2;4-DICHLOROBENZYL ALCOHOL,RECKITT BENCKISER,STREPSILS,RECKITT BENCKISER,RECKITT BENCKISER*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,LPO,COMBI,2011.0,0000,LOZS COOL 16,201109,16.75,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,,,168.0,10.0,101.0,6.0,,
2;4-DICHLOROBENZYL ALCOHOL,RECKITT BENCKISER,STREPSILS,RECKITT BENCKISER,RECKITT BENCKISER*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,0.0,0000,LOZ LEM/HONE 24,UNKNOWN,16.75,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,6312206.0,376848.0,6177368.0,368798.0,2675428.0,159727.0,2692197.0,160728.0,1162534.0,69405.0
2;4-DICHLOROBENZYL ALCOHOL,RECKITT BENCKISER,STREPSILS,RECKITT BENCKISER,RECKITT BENCKISER*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,0.0,0000,LOZS MENTHOL 24,UNKNOWN,16.75,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,1783308.0,106466.0,2674071.0,159646.0,905324.0,54049.0,939828.0,56109.0,516537.0,30838.0
2;4-DICHLOROBENZYL ALCOHOL,RECKITT BENCKISER,STREPSILS,RECKITT BENCKISER,RECKITT BENCKISER*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,1999.0,0000,LOZS S/F ASS 16,199906,16.75,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,2091794.0,124883.0,2251619.0,134425.0,1037279.0,61927.0,1137962.0,67938.0,470508.0,28090.0
2;4-DICHLOROBENZYL ALCOHOL,RECKITT BENCKISER,STREPSILS,RECKITT BENCKISER,RECKITT BENCKISER*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,2011.0,0000,LOZS COOL 16,201109,16.75,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,1173775.0,70076.0,1396650.0,83382.0,521061.0,31108.0,463157.0,27651.0,173245.0,10343.0
2;4-DICHLOROBENZYL ALCOHOL,RECKITT BENCKISER,STREPSILS C,RECKITT BENCKISER,RECKITT BENCKISER*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,LPO,COMBI,1986.0,0000,LOZS 24,198601,16.75,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,10419.0,622.0,12898.0,770.0,2698.0,161.0,2178.0,130.0
2;4-DICHLOROBENZYL ALCOHOL,RECKITT BENCKISER,STREPSILS C,RECKITT BENCKISER,RECKITT BENCKISER*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,1986.0,0000,LOZS 24,198601,16.75,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,3221629.0,192336.0,2696752.0,161000.0,1072907.0,64054.0,1055621.0,63022.0,496789.0,29659.0
2;4-DICHLOROBENZYL ALCOHOL,RECKITT BENCKISER,STREPSILS ME H&L,RECKITT BENCKISER,RECKITT BENCKISER*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,LPO,COMBI,2017.0,0000,LOZS 36,201705,27.75,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,,,1277.0,46.0,,,83.0,3.0
2;4-DICHLOROBENZYL ALCOHOL,RECKITT BENCKISER,STREPSILS ME H&L,RECKITT BENCKISER,RECKITT BENCKISER*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,2017.0,0000,LOZS 36,201705,27.75,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,2922603.0,105319.0,3197356.0,115220.0,1499999.0,54054.0,1369299.0,49344.0,796814.0,28714.0
2;4-DICHLOROBENZYL ALCOHOL,RECKITT BENCKISER,STREPSILS ME LEMSF,RECKITT BENCKISER,RECKITT BENCKISER*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,LPO,COMBI,2017.0,0000,LOZS 36,201705,27.75,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,,,1693.0,61.0,167.0,6.0,,
2;4-DICHLOROBENZYL ALCOHOL,RECKITT BENCKISER,STREPSILS ME LEMSF,RECKITT BENCKISER,RECKITT BENCKISER*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,2017.0,0000,LOZS 36,201705,27.75,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,1526167.0,54997.0,1776667.0,64024.0,811690.0,29250.0,709291.0,25560.0,366106.0,13193.0
2;4-DICHLOROBENZYL ALCOHOL,RECKITT BENCKISER,STREPSILS ME STBN,RECKITT BENCKISER,RECKITT BENCKISER*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,LPO,COMBI,2017.0,0000,LOZS 36,201705,28.0,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,,,1288.0,46.0,168.0,6.0,420.0,15.0
2;4-DICHLOROBENZYL ALCOHOL,RECKITT BENCKISER,STREPSILS ME STBN,RECKITT BENCKISER,RECKITT BENCKISER*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,2017.0,0000,LOZS 36,201705,28.0,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,1481116.0,52897.0,1768060.0,63145.0,1190924.0,42533.0,761488.0,27196.0,399504.0,14268.0
2;4-DICHLOROBENZYL ALCOHOL,RECKITT BENCKISER,STREPSILS ME VIT C,RECKITT BENCKISER,RECKITT BENCKISER*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,LPO,COMBI,2020.0,0000,LOZS 36,202003,26.18,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,,,1938.0,74.0,445.0,17.0,79.0,3.0
2;4-DICHLOROBENZYL ALCOHOL,RECKITT BENCKISER,STREPSILS ME VIT C,RECKITT BENCKISER,RECKITT BENCKISER*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,2020.0,0000,LOZS 36,202003,26.18,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,1028821.0,39298.0,1451473.0,55442.0,565540.0,21602.0,483704.0,18476.0,245568.0,9380.0
2;4-DICHLOROBENZYL ALCOHOL,RECKITT BENCKISER,STREPSILS ME WARM,RECKITT BENCKISER,RECKITT BENCKISER*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,LPO,COMBI,2017.0,0000,LOZS 16,201707,18.47,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,,,185.0,10.0,,,,
2;4-DICHLOROBENZYL ALCOHOL,RECKITT BENCKISER,STREPSILS ME WARM,RECKITT BENCKISER,RECKITT BENCKISER*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,2017.0,0000,LOZS 16,201707,18.47,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,1734148.0,93890.0,2465375.0,133480.0,1155668.0,62570.0,1262091.0,68332.0,410366.0,22218.0
2;4-DICHLOROBENZYL ALCOHOL,SPASO,JOYSILS,SPASO,SPASO*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,2024.0,0000,GNG&LMN LZG 24,202409,24.0,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,270792.0,11283.0,126792.0,5283.0,74400.0,3100.0,,
2;4-DICHLOROBENZYL ALCOHOL,SPASO,JOYSILS,SPASO,SPASO*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,2024.0,0000,HON & LE LOZ 24,202409,24.0,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,261120.0,10880.0,184800.0,7700.0,127920.0,5330.0,2208.0,92.0
2;4-DICHLOROBENZYL ALCOHOL,SPASO,JOYSILS,SPASO,SPASO*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,2024.0,0000,LMN LZNG 24,202409,24.0,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,251808.0,10492.0,115344.0,4806.0,57672.0,2403.0,672.0,28.0
2;4-DICHLOROBENZYL ALCOHOL,SPASO,JOYSILS,SPASO,SPASO*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,2024.0,0000,MNTHL LZNG 24,202409,24.0,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,246288.0,10262.0,94824.0,3951.0,73464.0,3061.0,,
2;4-DICHLOROBENZYL ALCOHOL,SPASO,JOYSILS,SPASO,SPASO*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,2024.0,0000,ORANGE LOZ 24,202409,24.0,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,142680.0,5945.0,131376.0,5474.0,51480.0,2145.0,960.0,40.0
2;4-DICHLOROBENZYL ALCOHOL,SPASO,JOYSILS,SPASO,SPASO*,R02A0 PHARYNGEAL PREPARATIONS,R02A PHARYNGEAL PREPARATIONS,R02 PHARYNGEAL PREPARATIONS,R0 RESPIRATORY SYSTEM,TOTAL MARKET,PRIVATE MARKET,COMBI,2024.0,0000,ORG LZG SGFR 24,202409,24.0,K ORAL TOPICAL,KD ORAL TOP SOLID SPEC FORMS,KDE ORAL TOP LOZENGES,,,247320.0,10305.0,186528.0,7772.0,51864.0,2161.0,,
