Molecule,Manufacturer,Product,MIDAS Corporation,Corporation,ATC4,ATC3,ATC2,ATC1,Total Market,Market,Molecule Combination Type,Launch Year,Strength,Pack,Launch Date,Retail Price,NFC1,NFC2,NFC3,2022 LC Value,2022 Units,2023 LC Value,2023 Units,2024 LC Value,2024 Units,2025 LC Value,2025 Units,2026 LC Value,2026 Units
OFLOXACIN,JAMJOOM PHARMA,OPTIFLOX,JAMJOOM PHARMA,JAMJOOM PHARMA,S01A0 ANTI-INFECTIVES-EYE,S01A ANTI-INFECTIVES-EYE,S01 OPHTHALMOLOGICALS,S0 SENSORY ORGANS,TOTAL MARKET,PRIVATE MARKET,MONO,2004.0,0.30%,EYE DROPS .30 % 1 5 ML,200408,13.5,N OPHTHALMIC,NG OPHTHALMIC LIQUIDS,NGB OPHTHALMIC DROPS,681778.0,50502.0,1257042.0,93114.0,704676.0,52198.0,708441.0,52477.0,196466.0,14553.0
OFLOXACIN,RAM PHARMACEUTICAL,OFLACIN,RAM PHARMACEUTIC,RAM PHARMACEUTICA*,J01G1 ORAL FLUOROQUINOLONES,J01G FLUOROQUINOLONES,J01 SYSTEMIC ANTIBACTERIALS,J0 SYSTEMIC ANTI-INFECTIVES,TOTAL MARKET,PRIVATE MARKET,MONO,2006.0,0200MG,FILM C.TABS 200 MG 10,200601,28.0,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,439600.0,15700.0,447132.0,15969.0,471996.0,16857.0,12292.0,439.0,,
OFLOXACIN,SANOFI,TARIVID,SANOFI,SANOFI*,J01G1 ORAL FLUOROQUINOLONES,J01G FLUOROQUINOLONES,J01 SYSTEMIC ANTIBACTERIALS,J0 SYSTEMIC ANTI-INFECTIVES,TOTAL MARKET,PRIVATE MARKET,MONO,1990.0,0200MG,TABS 200 MG 10,199001,52.0,A ORAL SOLID ORDINARY,AA ORAL S ORD TABLETS,AAA ORAL S ORD TABLETS,487500.0,9375.0,511784.0,9842.0,228800.0,4400.0,,,,
OLANZAPINE,ABDI IBRAHIM PHARM,REXAPIN EASYTAB,ABDI IBRAHIM,ABDI IBRAHIM PHARM,N05A1 ATYPICAL ANTIPSYCHOTICS,N05A ANTIPSYCHOTICS,N05 PSYCHOLEPTICS,N0 NERVOUS SYSTEM,TOTAL MARKET,LPO,MONO,2022.0,0005MG,ORODISP. TAB 5 MG 28,202212,129.0,A ORAL SOLID ORDINARY,AA ORAL S ORD TABLETS,AAB ORAL DISINTEGRATING TABS,,,22188.0,172.0,283155.0,2195.0,391515.0,3035.0,170538.0,1322.0
OLANZAPINE,ABDI IBRAHIM PHARM,REXAPIN EASYTAB,ABDI IBRAHIM,ABDI IBRAHIM PHARM,N05A1 ATYPICAL ANTIPSYCHOTICS,N05A ANTIPSYCHOTICS,N05 PSYCHOLEPTICS,N0 NERVOUS SYSTEM,TOTAL MARKET,LPO,MONO,2022.0,0010MG,ORODISP. TAB 10 MG 28,202212,232.0,A ORAL SOLID ORDINARY,AA ORAL S ORD TABLETS,AAB ORAL DISINTEGRATING TABS,,,,,251952.0,1086.0,1799856.0,7758.0,735440.0,3170.0
OLANZAPINE,ABDI IBRAHIM PHARM,REXAPIN EASYTAB,ABDI IBRAHIM,ABDI IBRAHIM PHARM,N05A1 ATYPICAL ANTIPSYCHOTICS,N05A ANTIPSYCHOTICS,N05 PSYCHOLEPTICS,N0 NERVOUS SYSTEM,TOTAL MARKET,PRIVATE MARKET,MONO,2022.0,0005MG,ORODISP. TAB 5 MG 28,202212,129.0,A ORAL SOLID ORDINARY,AA ORAL S ORD TABLETS,AAB ORAL DISINTEGRATING TABS,1935.0,15.0,126162.0,978.0,336948.0,2612.0,490587.0,3803.0,132870.0,1030.0
OLANZAPINE,ABDI IBRAHIM PHARM,REXAPIN EASYTAB,ABDI IBRAHIM,ABDI IBRAHIM PHARM,N05A1 ATYPICAL ANTIPSYCHOTICS,N05A ANTIPSYCHOTICS,N05 PSYCHOLEPTICS,N0 NERVOUS SYSTEM,TOTAL MARKET,PRIVATE MARKET,MONO,2022.0,0010MG,ORODISP. TAB 10 MG 28,202212,232.0,A ORAL SOLID ORDINARY,AA ORAL S ORD TABLETS,AAB ORAL DISINTEGRATING TABS,5800.0,25.0,280952.0,1211.0,540560.0,2330.0,875568.0,3774.0,220632.0,951.0
OLANZAPINE,ANNORA PHARMA,ZIRPEX,ANNORA PHARMA,ANNORA PHARMA,N05A1 ATYPICAL ANTIPSYCHOTICS,N05A ANTIPSYCHOTICS,N05 PSYCHOLEPTICS,N0 NERVOUS SYSTEM,TOTAL MARKET,PRIVATE MARKET,MONO,2025.0,0005MG,FILM C.TABS 5 MG 30,202511,117.5,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,,,,,,,4935.0,42.0,17626.0,150.0
OLANZAPINE,ANNORA PHARMA,ZIRPEX,ANNORA PHARMA,ANNORA PHARMA,N05A1 ATYPICAL ANTIPSYCHOTICS,N05A ANTIPSYCHOTICS,N05 PSYCHOLEPTICS,N0 NERVOUS SYSTEM,TOTAL MARKET,PRIVATE MARKET,MONO,2025.0,0010MG,FILM C.TABS 10 MG 30,202509,202.0,A ORAL SOLID ORDINARY,AB ORAL S ORD COATED TABLETS,ABC ORAL S ORD FILM-COATED TABS,,,,,,,5050.0,25.0,5858.0,29.0
OLANZAPINE,CINFA,OLANOLE,CINFA,CINFA,N05A1 ATYPICAL ANTIPSYCHOTICS,N05A ANTIPSYCHOTICS,N05 PSYCHOLEPTICS,N0 NERVOUS SYSTEM,TOTAL MARKET,LPO,MONO,2021.0,0005MG,TABS 5 MG 28,202109,264.0,A ORAL SOLID ORDINARY,AA ORAL S ORD TABLETS,AAA ORAL S ORD TABLETS,,,117744.0,446.0,139920.0,530.0,689304.0,2611.0,26400.0,100.0
